frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,785,8.000000,0.000000,0,0,0,0,0
2,1570,8.000000,0.000000,1,1,0,0,0
3,2355,8.000000,0.000000,27,27,0,0,0
4,3140,8.000000,0.000000,93,93,0,0,0
5,3925,8.000000,0.000000,251,251,0,0,0
6,4710,8.000000,0.000000,485,485,0,0,0
7,5495,8.000000,0.000000,747,747,0,0,0
8,6280,8.000000,0.000000,941,941,0,0,0
9,7065,8.000000,0.000000,941,941,0,0,0
10,7850,8.000000,0.000000,941,941,0,0,0
11,8635,8.000000,0.000000,941,941,0,0,0
12,9420,8.000000,0.000000,941,941,0,0,0
13,10205,8.000000,0.000000,941,941,0,0,0
14,10990,8.000000,0.000000,941,941,0,0,0
15,11775,8.000000,0.000000,941,941,0,0,0
16,12560,8.000000,0.000000,941,941,0,0,0
