frame,x0,y0,z0,x1,y1,z1,k0,k1
1,10,5,5,16,5,5,1,1
2,10,5,5,16,5,5,1,1
3,10,5,5,16,5,5,1,1
4,10,5,5,16,5,5,1,1
5,10,5,5,16,5,5,1,1
6,10,5,5,16,5,5,1,1
7,10,5,5,16,5,5,1,1
8,10,5,5,16,5,5,1,1
9,10,5,5,16,5,5,1,1
10,10,5,5,16,5,5,1,1
11,10,5,5,16,5,5,1,1
12,10,5,5,16,5,5,1,1
13,10,5,5,16,5,5,1,1
14,10,5,5,16,5,5,1,1
15,10,5,5,16,5,5,1,1
16,10,5,5,16,5,5,1,1
17,10,5,5,16,5,5,1,1
18,10,5,5,16,5,5,1,1
19,10,5,5,16,5,5,1,1
20,10,5,5,16,5,5,1,1
