frame,tick,measured,x,y,z,vx,vy,vz,max_body_span
62,11904,1,50.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
63,12096,1,51.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
64,12288,1,52.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
65,12480,1,52.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
66,12672,1,53.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
67,12864,1,54.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
68,13056,1,55.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
69,13248,1,55.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
70,13440,1,56.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
71,13632,1,57.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
72,13824,1,58.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
73,14016,1,58.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
74,14208,1,59.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
75,14400,1,60.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
76,14592,1,61.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
77,14784,1,61.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
78,14976,1,62.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
79,15168,1,63.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
80,15360,1,64.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
81,15552,1,64.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
82,15744,1,65.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
83,15936,1,66.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
84,16128,1,67.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
85,16320,1,67.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
86,16512,1,68.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
87,16704,1,69.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
88,16896,1,70.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
89,17088,1,70.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
90,17280,1,71.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
91,17472,1,72.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
92,17664,1,73.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
93,17856,1,73.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
94,18048,1,74.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
95,18240,1,75.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
96,18432,1,76.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
97,18624,1,76.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
98,18816,1,77.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
99,19008,1,78.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
100,19200,1,79.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
101,19392,1,79.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
102,19584,1,80.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
103,19776,1,81.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
104,19968,1,82.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
105,20160,1,82.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
106,20352,1,83.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
107,20544,1,84.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
108,20736,1,85.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
109,20928,1,85.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
110,21120,1,86.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
111,21312,1,87.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
112,21504,1,88.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
113,21696,1,88.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
114,21888,1,89.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
115,22080,1,90.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
116,22272,1,91.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
117,22464,1,91.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
118,22656,1,92.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
119,22848,1,93.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
120,23040,1,94.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
121,23232,1,94.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
122,23424,1,95.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
123,23616,1,96.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
124,23808,1,97.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
125,24000,1,97.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
126,24192,1,98.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
127,24384,1,99.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
128,24576,1,100.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
129,24768,1,100.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
130,24960,1,101.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
131,25152,1,102.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
132,25344,1,103.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
133,25536,1,103.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
134,25728,1,104.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
135,25920,1,105.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
136,26112,1,106.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
137,26304,1,106.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
138,26496,1,107.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
139,26688,1,108.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
140,26880,1,109.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
141,27072,1,109.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
142,27264,1,110.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
143,27456,1,111.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
144,27648,1,112.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
145,27840,1,112.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
146,28032,1,113.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
147,28224,1,114.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
148,28416,1,115.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
149,28608,1,115.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
150,28800,1,116.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
151,28992,1,117.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
152,29184,1,118.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
153,29376,1,118.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
154,29568,1,119.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
155,29760,1,120.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
156,29952,1,121.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
157,30144,1,121.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0
158,30336,1,122.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
159,30528,1,123.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
160,30720,1,124.000000000,2.000000000,2.000000000,1.000000000,0.000000000,0.000000000,0
