frame,tick,measured,x,y,z,vx,vy,vz,max_body_span,max_pair_gap
59,16402,1,47.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
60,16680,1,48.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
61,16958,1,49.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
62,17236,1,50.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
63,17514,1,51.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
64,17792,1,51.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
65,18070,1,51.800000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
66,18348,1,52.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
67,18626,1,53.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
68,18904,1,54.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
69,19182,1,55.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
70,19460,1,55.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
71,19738,1,56.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
72,20016,1,57.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
73,20294,1,57.400000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
74,20572,1,58.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
75,20850,1,59.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
76,21128,1,59.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
77,21406,1,60.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
78,21684,1,61.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
79,21962,1,62.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
80,22240,1,63.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
81,22518,1,63.000000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
82,22796,1,63.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
83,23074,1,64.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
84,23352,1,65.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
85,23630,1,66.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
86,23908,1,67.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
87,24186,1,67.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
88,24464,1,68.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
89,24742,1,68.600000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
90,25020,1,69.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
