128,1508,914
1152,6888,1099
2176,6668,176
3200,7951,105
4224,7597,70
5248,7722,32
6272,3545,57
7296,8056,73
8320,7826,84
9344,7132,70
10368,8204,64
11392,7695,80
12416,7874,8
13440,6550,84
14464,7914,16
15488,7058,25
