frame,tick,k_x,p1_x,p2_x,k_unwrapped,p_unwrapped,dx_k,dx_p,phase_p,contact_p1_k,contact_p2_k,kick,wrap,distance
100,27100,10,0,0,10,102,0,1,2,0,0,0,1,7
101,27371,10,1,1,10,103,0,1,1,0,0,0,0,8
102,27642,10,2,2,10,104,0,1,0,0,0,0,0,8
103,27913,10,3,3,10,105,0,1,1,0,0,0,0,7
104,28184,10,4,4,10,106,0,1,2,0,0,0,0,6
105,28455,10,5,5,10,107,0,1,3,0,0,0,0,5
106,28726,10,6,6,10,108,0,1,2,0,0,0,0,4
107,28997,10,7,7,10,109,0,1,1,0,0,0,0,3
108,29268,10,8,8,10,110,0,1,0,0,0,0,0,2
109,29539,10,9,9,10,111,0,1,1,0,0,0,0,1
110,29810,10,10,10,10,112,0,1,2,0,0,0,0,0
111,30081,10,11,11,10,113,0,1,3,0,0,0,0,1
112,30352,10,12,12,10,114,0,1,2,0,0,0,0,2
113,30623,10,13,13,10,115,0,1,1,0,0,0,0,3
114,30894,10,14,14,10,116,0,1,0,0,0,0,0,4
115,31165,10,15,15,10,117,0,1,1,0,0,0,0,5
116,31436,10,16,16,10,118,0,1,2,0,0,0,0,6
117,31707,10,0,0,10,119,0,1,3,0,0,0,1,7
118,31978,10,1,1,10,120,0,1,2,0,0,0,0,8
119,32249,10,2,2,10,121,0,1,1,0,0,0,0,8
120,32520,10,3,3,10,122,0,1,0,0,0,0,0,7
