frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,1528,4.000000,0.000000,0,0,0,0,0
2,3056,4.000000,0.000000,1,1,0,0,0
3,4584,4.000000,0.000000,27,27,0,0,0
4,6112,4.000000,0.000000,93,93,24,0,0
5,7640,4.000000,0.000000,251,251,24,0,0
6,9168,4.000000,0.000000,385,385,0,0,0
7,10696,4.000000,0.000000,385,385,0,0,0
8,12224,4.000000,0.000000,385,385,0,0,0
9,13752,4.000000,0.000000,385,385,0,0,0
10,15280,4.000000,0.000000,385,385,24,0,0
11,16808,12.000000,8.000000,502,385,24,8,8
12,18336,12.000000,-8.000000,770,385,0,0,0
13,19864,12.000000,0.000000,770,385,0,0,0
14,21392,12.000000,0.000000,770,385,0,0,0
15,22920,12.000000,0.000000,770,385,0,0,0
16,24448,12.000000,0.000000,770,385,24,0,0
17,25976,12.000000,0.000000,770,385,24,0,0
18,27504,12.000000,0.000000,770,385,0,0,0
