frame,tick,xcmN,vcmN,nIsland,dxIslandSum,nProp,dxPropSum,nSeam,xIsland,vIsland,chiefX,nBound,coreX
1,515,2.000000,0.000000,0,0.000000,0,0.000000,0,2.000000,0.000000,2.000000,6,2.000000
2,1030,2.000000,0.000000,0,0.000000,0,0.000000,0,2.000000,0.000000,2.000000,6,2.000000
3,1545,6.666667,4.666667,0,0.000000,3,42.000000,2,2.000000,0.000000,2.000000,6,2.000000
4,2060,9.000000,2.333333,0,0.000000,3,21.000000,1,2.000000,0.000000,2.000000,6,2.000000
5,2575,9.722222,0.722222,0,0.000000,2,6.500000,0,2.000000,0.000000,2.000000,6,2.000000
6,3090,14.777778,5.055556,6,53.000000,2,-7.500000,2,10.833333,8.833333,4.000000,4,3.750000
7,3605,14.444444,-0.333333,6,3.000000,3,-6.000000,0,11.333333,0.500000,2.000000,3,2.000000
