frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,388,4.000000,0.000000,0,0,0,0,0
2,776,4.000000,0.000000,1,1,0,0,0
3,1164,4.000000,0.000000,27,27,0,0,0
4,1552,4.000000,0.000000,93,93,24,0,0
5,1940,12.000000,8.000000,502,251,24,8,8
6,2328,12.000000,-8.000000,770,385,0,0,0
7,2716,12.000000,0.000000,770,385,0,0,0
8,3104,12.000000,0.000000,770,385,0,0,0
9,3492,12.000000,0.000000,770,385,0,0,0
10,3880,12.000000,0.000000,770,385,24,0,0
11,4268,1.000000,-11.000000,759,385,24,24,24
12,4656,8.000000,18.000000,838,483,10,10,0
13,5044,5.099020,-9.900980,739,217,25,25,0
14,5432,5.099020,2.900980,818,262,56,50,0
