frame,x0,y0,z0,x1,y1,z1,k0,k1
1,10,5,5,16,5,5,1,1
2,10,5,5,16,5,5,1,1
3,10,5,5,16,5,5,1,1
4,10,5,5,16,5,5,1,1
5,10,5,5,16,5,5,1,1
6,10,5,5,16,5,5,1,1
7,10,5,5,16,5,5,1,1
8,10,5,5,6,6,6,1,3
9,10,5,5,6,6,6,1,3
10,10,5,5,6,6,6,1,3
11,9,7,4,6,6,6,3,3
12,9,7,4,6,6,6,3,3
13,2,0,10,6,6,6,3,3
14,2,0,10,6,6,6,3,3
15,2,0,10,6,6,6,3,3
16,4,9,8,6,6,6,3,3
17,4,9,8,6,6,6,3,3
18,7,6,5,6,6,6,3,3
19,7,6,6,6,6,6,3,3
20,7,6,6,6,6,6,3,3
