frame,tick,xcmN,vcmN,nIsland,dxIslandSum,nProp,dxPropSum,nSeam,xIsland,vIsland,chiefX,nBound,coreX
1,568,2.444444,0.000000,0,0.000000,0,0.000000,0,3.000000,0.000000,3.000000,6,3.000000
2,1136,2.444444,0.000000,0,0.000000,0,0.000000,0,3.000000,0.000000,3.000000,6,3.000000
3,1704,8.555556,6.111111,4,44.000000,3,11.000000,1,10.333333,7.333333,3.000000,4,4.000000
4,2272,4.500000,-4.055556,4,-35.000000,2,-1.500000,1,4.500000,-5.833333,3.000000,6,4.500000
5,2840,17.777778,13.277778,6,88.000000,3,31.500000,2,19.166667,14.666667,19.000000,3,14.666667
6,3408,27.277778,9.500000,6,55.000000,2,30.500000,2,28.333333,9.166667,23.000000,3,23.666667
