frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,785,6.000000,0.000000,0,0,0,0,0
2,1570,6.000000,0.000000,1,1,0,0,0
3,2355,6.000000,0.000000,27,27,0,0,0
4,3140,6.000000,0.000000,93,93,0,0,0
5,3925,6.000000,0.000000,251,251,24,0,0
6,4710,6.000000,0.000000,485,485,24,0,0
7,5495,6.000000,0.000000,747,747,0,0,0
8,6280,6.000000,0.000000,941,941,0,0,0
9,7065,6.000000,0.000000,941,941,0,0,0
10,7850,6.000000,0.000000,941,941,0,0,0
11,8635,6.000000,0.000000,941,941,0,0,0
12,9420,6.000000,0.000000,941,941,0,0,0
13,10205,6.000000,0.000000,941,941,24,0,0
14,10990,9.000000,3.000000,716,941,24,16,16
15,11775,9.000000,-3.000000,990,941,0,0,0
16,12560,9.000000,0.000000,1184,941,0,0,0
