frame,tick,xcmN,vcmN,nIsland,dxIslandSum,nProp,dxPropSum,nSeam,xIsland,vIsland,chiefX,nBound,coreX
1,448,2.000000,0.000000,0,0.000000,0,0.000000,0,2.000000,0.000000,2.000000,6,2.000000
2,896,2.000000,0.000000,0,0.000000,0,0.000000,0,2.000000,0.000000,2.000000,6,2.000000
3,1344,4.111111,2.111111,0,0.000000,3,19.000000,0,2.000000,0.000000,2.000000,6,2.000000
4,1792,6.833333,2.722222,3,12.000000,3,12.500000,0,4.000000,2.000000,2.000000,6,4.000000
5,2240,15.500000,8.666667,6,77.000000,2,1.000000,3,16.833333,12.833333,23.000000,4,21.750000
6,2688,16.000000,0.500000,5,1.000000,3,3.500000,2,17.000000,0.166667,20.000000,5,19.600000
