frame,tick,xcm,vcm,islandX,vIsland
1,387,1.708333,0.000000,1.062500,0.000000
2,774,1.708333,0.000000,1.062500,0.000000
3,1161,1.708333,0.000000,1.062500,0.000000
4,1548,1.708333,0.000000,1.062500,0.000000
5,1935,1.708333,0.000000,1.062500,0.000000
6,2322,1.708333,0.000000,1.062500,0.000000
7,2709,1.708333,0.000000,1.062500,0.000000
8,3096,2.041667,0.333333,1.062500,0.000000
9,3483,2.041667,0.000000,1.062500,0.000000
10,3870,2.041667,0.000000,1.062500,0.000000
