run,island,frame,N,captures,escapes
ref_L9,49,4,2,0,0
ref_L9,50,1,1,0,0
ref_L9,50,2,2,1,0
ref_L9,50,3,2,0,0
ref_L9,50,4,2,0,0
ref_L9,51,1,1,0,0
ref_L9,51,2,2,1,0
ref_L9,51,3,2,0,0
ref_L9,51,4,2,0,0
ref_L9,52,1,1,0,0
ref_L9,52,2,2,1,0
ref_L9,52,3,2,0,0
ref_L9,52,4,2,0,0
ref_L9,53,1,1,0,0
ref_L9,53,2,2,1,0
ref_L9,53,3,2,0,0
ref_L9,53,4,2,0,0
ref_L9,54,1,1,0,0
ref_L9,54,2,2,1,0
ref_L9,54,3,2,0,0
ref_L9,54,4,2,0,0
ref_L9,55,1,1,0,0
ref_L9,55,2,2,1,0
ref_L9,55,3,2,0,0
ref_L9,55,4,2,0,0
ref_L9,56,1,1,0,0
ref_L9,56,2,2,1,0
ref_L9,56,3,2,0,0
ref_L9,56,4,2,0,0
ref_L9,57,1,1,0,0
ref_L9,57,2,2,1,0
ref_L9,57,3,2,0,0
ref_L9,57,4,2,0,0
ref_L9,58,1,1,0,0
ref_L9,58,2,2,1,0
ref_L9,58,3,2,0,0
ref_L9,58,4,2,0,0
ref_L9,59,1,1,0,0
ref_L9,59,2,2,1,0
ref_L9,59,3,2,0,0
ref_L9,59,4,2,0,0
ref_L9,60,1,1,0,0
ref_L9,60,2,2,1,0
ref_L9,60,3,2,0,0
ref_L9,60,4,2,0,0
ref_L9,61,1,1,0,0
ref_L9,61,2,2,1,0
ref_L9,61,3,2,0,0
ref_L9,61,4,2,0,0
ref_L9,62,1,1,0,0
ref_L9,62,2,2,1,0
ref_L9,62,3,2,0,0
ref_L9,62,4,2,0,0
ref_L9,63,1,1,0,0
ref_L9,63,2,2,1,0
ref_L9,63,3,2,0,0
ref_L9,63,4,2,0,0
ref_L9,64,1,1,0,0
ref_L9,64,2,2,1,0
ref_L9,64,3,2,0,0
ref_L9,64,4,2,0,0
ref_L9,65,1,1,0,0
ref_L9,65,2,2,1,0
ref_L9,65,3,2,0,0
ref_L9,65,4,2,0,0
ref_L9,66,1,1,0,0
ref_L9,66,2,2,1,0
ref_L9,66,3,2,0,0
ref_L9,66,4,2,0,0
ref_L9,67,1,1,0,0
