run,island,frame,N,captures,escapes
ref_L15,0,1,1,0,0
ref_L15,0,2,2,1,0
ref_L15,0,3,2,0,0
ref_L15,0,4,2,0,0
ref_L15,1,1,1,0,0
ref_L15,1,2,2,1,0
ref_L15,1,3,2,0,0
ref_L15,1,4,2,0,0
ref_L15,2,1,1,0,0
ref_L15,2,2,2,1,0
ref_L15,2,3,2,0,0
ref_L15,2,4,2,0,0
ref_L15,3,1,1,0,0
ref_L15,3,2,2,1,0
ref_L15,3,3,2,0,0
ref_L15,3,4,2,0,0
ref_L15,4,1,1,0,0
ref_L15,4,2,2,1,0
ref_L15,4,3,2,0,0
ref_L15,4,4,2,0,0
ref_L15,5,1,1,0,0
ref_L15,5,2,2,1,0
ref_L15,5,3,2,0,0
ref_L15,5,4,2,0,0
ref_L15,6,1,1,0,0
ref_L15,6,2,2,1,0
ref_L15,6,3,2,0,0
ref_L15,6,4,2,0,0
ref_L15,7,1,1,0,0
ref_L15,7,2,2,1,0
ref_L15,7,3,2,0,0
ref_L15,7,4,2,0,0
ref_L15,8,1,1,0,0
ref_L15,8,2,2,1,0
ref_L15,8,3,2,0,0
ref_L15,8,4,2,0,0
ref_L15,9,1,1,0,0
ref_L15,9,2,2,1,0
ref_L15,9,3,2,0,0
ref_L15,9,4,2,0,0
ref_L15,10,1,1,0,0
ref_L15,10,2,2,1,0
ref_L15,10,3,2,0,0
ref_L15,10,4,2,0,0
ref_L15,11,1,1,0,0
ref_L15,11,2,2,1,0
ref_L15,11,3,2,0,0
ref_L15,11,4,2,0,0
ref_L15,12,1,1,0,0
ref_L15,12,2,2,1,0
ref_L15,12,3,2,0,0
ref_L15,12,4,2,0,0
ref_L15,13,1,1,0,0
ref_L15,13,2,2,1,0
ref_L15,13,3,2,0,0
ref_L15,13,4,2,0,0
ref_L15,14,1,1,0,0
ref_L15,14,2,2,1,0
ref_L15,14,3,2,0,0
ref_L15,14,4,2,0,0
ref_L15,15,1,1,0,0
ref_L15,15,2,2,1,0
ref_L15,15,3,2,0,0
ref_L15,15,4,2,0,0
ref_L15,16,1,1,0,0
ref_L15,16,2,2,1,0
ref_L15,16,3,2,0,0
