run,island,frame,N,captures,escapes
candADDR_L9,8,17,1,0,0
candADDR_L9,8,18,1,0,0
candADDR_L9,8,19,1,0,0
candADDR_L9,8,20,1,0,0
candADDR_L9,9,1,1,0,0
candADDR_L9,9,2,4,3,0
candADDR_L9,9,3,4,0,0
candADDR_L9,9,4,4,0,0
candADDR_L9,9,5,4,0,0
candADDR_L9,9,6,4,0,0
candADDR_L9,9,7,4,0,0
candADDR_L9,9,8,4,0,0
candADDR_L9,9,9,4,0,0
candADDR_L9,9,10,4,0,0
candADDR_L9,9,11,4,0,0
candADDR_L9,9,12,4,0,0
candADDR_L9,9,13,4,0,0
candADDR_L9,9,14,4,0,0
candADDR_L9,9,15,4,0,0
candADDR_L9,9,16,4,0,0
candADDR_L9,9,17,4,0,0
candADDR_L9,9,18,4,0,0
candADDR_L9,9,19,4,0,0
candADDR_L9,9,20,4,0,0
candADDR_L9,10,1,1,0,0
candADDR_L9,10,2,1,0,0
candADDR_L9,10,3,1,0,0
candADDR_L9,10,4,1,0,0
candADDR_L9,10,5,1,0,0
candADDR_L9,10,6,1,0,0
candADDR_L9,10,7,1,0,0
candADDR_L9,10,8,1,0,0
candADDR_L9,10,9,1,0,0
candADDR_L9,10,10,1,0,0
candADDR_L9,10,11,1,0,0
candADDR_L9,10,12,1,0,0
candADDR_L9,10,13,1,0,0
candADDR_L9,10,14,1,0,0
candADDR_L9,10,15,1,0,0
candADDR_L9,10,16,1,0,0
candADDR_L9,10,17,1,0,0
candADDR_L9,10,18,1,0,0
candADDR_L9,10,19,1,0,0
candADDR_L9,10,20,1,0,0
candADDR_L9,11,1,1,0,0
candADDR_L9,11,2,1,0,0
candADDR_L9,11,3,1,0,0
candADDR_L9,11,4,1,0,0
candADDR_L9,11,5,1,0,0
candADDR_L9,11,6,1,0,0
candADDR_L9,11,7,1,0,0
candADDR_L9,11,8,1,0,0
candADDR_L9,11,9,1,0,0
candADDR_L9,11,10,1,0,0
candADDR_L9,11,11,1,0,0
candADDR_L9,11,12,1,0,0
